status,floor,transaction,bathroom,Rate_per_sqft,bedroom,carpet_area_sqft,area,Price_Lakhs,area_median_ppsf,ppsf_vs_area
Ready to Move,0,Resale,3.0,4808.0,3,1150.0,Gurgaon,75.0,9259.0,0.5192785397991144
Ready to Move,1,Resale,2.0,10455.0,2,1150.0,New Delhi,115.0,8796.0,1.1886084583901773
Ready to Move,1,Resale,1.0,7714.0,1,1150.0,New Delhi,15.0,8796.0,0.8769895407003183
Ready to Move,1,Resale,3.0,8333.0,3,1150.0,Noida,135.0,7233.0,1.1520807410479745
Ready to Move,1,New Property,3.0,4478.0,4,1150.0,New Delhi,150.0,8796.0,0.5090950432014552
Under Construction,2,New Property,3.0,11111.0,4,1440.0,New Delhi,160.0,8796.0,1.26318781264211
Ready to Move,16,Resale,1.0,6465.0,1,495.0,Noida,32.0,7233.0,0.8938199917046868
Ready to Move,2,Resale,2.0,6296.0,2,950.0,New Delhi,85.0,8796.0,0.7157798999545247
Ready to Move,9,Resale,6.0,15000.0,5,5000.0,Gurgaon,825.0,9259.0,1.6200453612701156
Ready to Move,3,Resale,3.0,4000.0,4,900.0,New Delhi,150.0,8796.0,0.45475216007276037
Ready to Move,5,Resale,1.0,3596.0,1,450.0,New Delhi,19.0,8796.0,0.4088221919054115
Ready to Move,0,New Property,1.0,4647.0,3,750.0,New Delhi,70.0,8796.0,0.5283083219645294
Ready to Move,4,New Property,2.0,5000.0,2,663.0,Gurgaon,39.5,9259.0,0.5400151204233719
Under Construction,15,New Property,3.0,8889.0,3,1595.0,Greater Noida,67.5,5784.5,1.5366928861612932
Ready to Move,4,Resale,2.0,9590.0,2,900.0,New Delhi,80.0,8796.0,1.090268303774443
Ready to Move,0,Resale,3.0,9000.0,3,1000.0,Gurgaon,180.0,9259.0,0.9720272167620694
Ready to Move,13,Resale,2.0,12593.0,2,4100.0,Faridabad,52.0,5662.5,2.2239293598233996
Ready to Move,0,Resale,2.0,4741.0,3,2100.0,Noida,85.0,7233.0,0.6554679939167704
Ready to Move,2,Resale,2.0,6824.0,2,925.0,New Delhi,32.0,8796.0,0.7758071850841292
Ready to Move,8,Resale,3.0,10305.0,2,450.0,Noida,73.4,7233.0,1.4247200331812526
Under Construction,0,New Property,2.0,14843.0,2,645.0,Gurgaon,135.0,9259.0,1.6030888864888218
Under Construction,7,Resale,2.0,3736.0,2,1150.0,Gurgaon,198.0,9259.0,0.40349929798034345
Ready to Move,1,Resale,2.0,5500.0,3,1150.0,Greater Noida,51.0,5784.5,0.9508168381018238
Ready to Move,0,Resale,2.0,10554.0,2,1150.0,Ghaziabad,55.0,5590.0,1.8880143112701253
Under Construction,26,Resale,2.0,5056.0,2,1150.0,Noida,108.0,7233.0,0.6990183879441448
Ready to Move,1,Resale,2.0,16667.0,3,1150.0,Ghaziabad,80.0,5590.0,2.9815742397137748
Under Construction,1,New Property,3.0,5263.0,3,1150.0,Greater Noida,84.0,5784.5,0.9098452761690725
Ready to Move,1,Resale,3.0,4889.0,3,1150.0,Gurgaon,55.0,9259.0,0.528026784749973
Ready to Move,1,Resale,1.0,2571.0,3,1150.0,New Delhi,55.0,8796.0,0.29229195088676674
Ready to Move,1,New Property,2.0,7631.0,3,1150.0,Greater Noida,67.6,5784.5,1.3192151439190942
Ready to Move,1,Resale,2.0,5419.0,2,1200.0,Greater Noida,70.0,5784.5,0.9368138992134152
Ready to Move,0,Resale,6.0,10643.0,6,1200.0,New Delhi,250.0,8796.0,1.209981809913597
Ready to Move,4,Resale,1.0,3966.0,2,1700.0,New Delhi,23.0,8796.0,0.4508867667121419
Ready to Move,7,Resale,3.0,6647.0,3,4200.0,Gurgaon,115.0,9259.0,0.7178961010908306
Ready to Move,12,Resale,3.0,5387.0,3,1250.0,Faridabad,87.0,5662.5,0.9513465783664459
Ready to Move,0,Resale,2.0,5792.0,3,900.0,Noida,75.0,7233.0,0.8007742292271534
Ready to Move,22,Resale,2.0,9831.0,2,675.0,Gurgaon,140.0,9259.0,1.0617777297764337
Ready to Move,8,Resale,3.0,7778.0,3,1100.0,Greater Noida,70.0,5784.5,1.3446278848647246
Ready to Move,1,Resale,4.0,8500.0,4,1100.0,Gurgaon,170.0,9259.0,0.9180257047197321
Ready to Move,0,New Property,3.0,5172.0,3,1750.0,New Delhi,75.0,8796.0,0.5879945429740792
Ready to Move,2,Resale,2.0,5263.0,2,760.0,Gurgaon,50.0,9259.0,0.5684199157576412
Ready to Move,2,Resale,2.0,13889.0,2,1150.0,New Delhi,63.0,8796.0,1.579013187812642
Ready to Move,0,Resale,3.0,5769.0,3,1150.0,Noida,250.0,7233.0,0.7975943591870593
Ready to Move,12,New Property,2.0,4938.0,3,1150.0,New Delhi,60.0,8796.0,0.5613915416098226
Ready to Move,2,Resale,1.0,10333.0,1,1150.0,New Delhi,20.0,8796.0,1.174738517507958
Ready to Move,3,Resale,2.0,7812.0,2,1150.0,Gurgaon,130.0,9259.0,0.8437196241494762
Ready to Move,2,Resale,3.0,12500.0,3,1150.0,Ghaziabad,125.0,5590.0,2.23613595706619
Ready to Move,2,Resale,1.0,7593.0,1,1150.0,New Delhi,45.0,8796.0,0.8632332878581174
Ready to Move,4,Resale,3.0,8413.0,3,1150.0,New Delhi,82.0,8796.0,0.9564574806730332
Ready to Move,2,Resale,3.0,13000.0,4,1150.0,Gurgaon,265.0,9259.0,1.404039313100767
Ready to Move,1,Resale,4.0,10464.0,4,1150.0,Gurgaon,234.0,9259.0,1.1301436440220327
Under Construction,1,Resale,2.0,5796.0,2,1150.0,Gurgaon,104.0,9259.0,0.6259855275947727
Ready to Move,1,Resale,2.0,7631.0,3,1150.0,Ghaziabad,103.0,5590.0,1.3651162790697675
Ready to Move,6,Resale,2.0,5780.0,2,2400.0,Ghaziabad,63.0,5590.0,1.033989266547406
Ready to Move,26,Resale,4.0,12500.0,4,1550.0,Gurgaon,350.0,9259.0,1.3500378010584297
Ready to Move,1,Resale,1.0,5333.0,2,1009.0,New Delhi,24.0,8796.0,0.6062983174170077
Ready to Move,1,Resale,4.0,7660.0,3,1900.0,Noida,180.0,7233.0,1.059034978570441
Ready to Move,0,Resale,2.0,3444.0,2,2000.0,Ghaziabad,26.0,5590.0,0.6161001788908765
Ready to Move,0,Resale,1.0,12626.0,2,1150.0,New Delhi,26.0,8796.0,1.435425193269668
Ready to Move,18,New Property,2.0,13228.0,2,1150.0,New Delhi,125.0,8796.0,1.5038653933606185
Ready to Move,4,Resale,3.0,11875.0,3,1150.0,Ghaziabad,115.0,5590.0,2.12432915921288
Ready to Move,0,Resale,3.0,3731.0,1,1150.0,New Delhi,225.0,8796.0,0.4241700773078672
Ready to Move,3,Resale,3.0,2639.0,3,1150.0,New Delhi,190.0,8796.0,0.30002273760800363
Ready to Move,2,Resale,3.0,5000.0,3,1150.0,Noida,50.0,7233.0,0.6912760956726116
Ready to Move,10,Resale,2.0,15157.0,2,1150.0,Noida,50.0,7233.0,2.095534356421955
Ready to Move,3,Resale,2.0,13333.0,3,1150.0,Noida,23.5,7233.0,1.8433568367205861
Ready to Move,1,Resale,3.0,16071.0,3,1150.0,Greater Noida,50.0,5784.5,2.7782868009335293
Ready to Move,1,Resale,4.0,4082.0,4,1150.0,New Delhi,360.0,8796.0,0.46407457935425195
Ready to Move,1,Resale,3.0,12500.0,3,1150.0,Gurgaon,60.0,9259.0,1.3500378010584297
Ready to Move,1,Resale,2.0,6036.0,2,1150.0,New Delhi,40.0,8796.0,0.6862210095497954
Ready to Move,1,Resale,3.0,7631.0,3,1150.0,New Delhi,125.0,8796.0,0.8675534333788085
Ready to Move,1,Resale,4.0,7631.0,3,1150.0,Noida,150.0,7233.0,1.05502557721554
Ready to Move,2,Resale,3.0,11200.0,4,1150.0,Gurgaon,53.0,9259.0,1.2096338697483529
Ready to Move,0,Resale,2.0,18613.0,3,890.0,New Delhi,140.0,8796.0,2.116075488858572
Ready to Move,0,Resale,1.0,2376.0,1,1650.0,Ghaziabad,20.0,5590.0,0.42504472271914134
Ready to Move,12,New Property,2.0,6325.0,2,1650.0,Greater Noida,24.0,5784.5,1.0934393638170974
Ready to Move,1,Resale,1.0,3692.0,2,800.0,Ghaziabad,32.0,5590.0,0.6604651162790698
Ready to Move,2,Resale,2.0,4286.0,3,900.0,Faridabad,28.0,5662.5,0.7569094922737307
Ready to Move,18,Resale,7.0,12500.0,7,1450.0,Noida,500.0,7233.0,1.7281902391815291
Ready to Move,3,Resale,4.0,7273.0,3,1150.0,Noida,375.0,7233.0,1.0055302087653808
Ready to Move,3,Resale,2.0,605870.0,3,1150.0,Noida,16.4,7233.0,83.76468961703304
Under Construction,2,Resale,1.0,13477.0,1,1150.0,Noida,40.0,7233.0,1.8632655882759575
Ready to Move,2,Resale,2.0,9429.0,2,1150.0,Faridabad,45.0,5662.5,1.6651655629139073
Ready to Move,0,Resale,3.0,3077.0,3,1150.0,Faridabad,145.0,5662.5,0.5433995584988962
Ready to Move,2,Resale,3.0,9195.0,4,1150.0,New Delhi,165.0,8796.0,1.045361527967258
Ready to Move,4,Resale,2.0,18889.0,3,1150.0,Greater Noida,60.0,5784.5,3.2654507736191545
Ready to Move,1,Resale,3.0,24390.0,3,1150.0,New Delhi,120.0,8796.0,2.772851296043656
Ready to Move,1,Resale,3.0,8889.0,3,1150.0,New Delhi,405.0,8796.0,1.0105729877216916
Ready to Move,1,Resale,2.0,12714.0,2,1150.0,New Delhi,120.0,8796.0,1.4454297407912688
Ready to Move,1,Resale,2.0,4545.0,2,1150.0,Noida,85.0,7233.0,0.628369970966404
Ready to Move,1,Resale,2.0,4883.0,3,1150.0,New Delhi,178.0,8796.0,0.5551386994088222
Ready to Move,1,Resale,1.0,7631.0,1,1150.0,New Delhi,25.0,8796.0,0.8675534333788085
Ready to Move,1,Resale,4.0,7631.0,4,1150.0,Gurgaon,125.0,9259.0,0.8241710767901501
Ready to Move,3,Resale,2.0,3737.0,3,890.0,New Delhi,37.0,8796.0,0.42485220554797637
Ready to Move,0,Resale,3.0,6042.0,3,900.0,Greater Noida,87.0,5784.5,1.04451551560204
Ready to Move,3,Resale,3.0,4878.0,3,1100.0,Gurgaon,80.0,9259.0,0.5268387514850416
Ready to Move,1,Resale,1.0,9375.0,2,1251.0,New Delhi,75.0,8796.0,1.065825375170532
Ready to Move,3,New Property,4.0,7500.0,4,1800.0,New Delhi,105.0,8796.0,0.8526603001364257
Ready to Move,1,Resale,1.0,5750.0,1,1000.0,New Delhi,23.0,8796.0,0.653706230104593
Ready to Move,12,Resale,1.0,12000.0,1,250.0,New Delhi,72.0,8796.0,1.364256480218281
Under Construction,2,New Property,2.0,3684.0,3,2800.0,Ghaziabad,49.0,5590.0,0.6590339892665474
Ready to Move,9,New Property,2.0,23181.0,2,762.0,New Delhi,290.0,8796.0,2.6354024556616644
Ready to Move,1,Resale,3.0,7181.0,3,1150.0,Gurgaon,135.0,9259.0,0.7755697159520467
Ready to Move,1,Resale,2.0,2500.0,2,1150.0,Ghaziabad,18.0,5590.0,0.4472271914132379
Ready to Move,10,Resale,2.0,7083.0,2,1150.0,New Delhi,85.0,8796.0,0.8052523874488404
Ready to Move,1,Resale,4.0,16842.0,4,1150.0,Gurgaon,480.0,9259.0,1.8189869316340856
Ready to Move,1,Resale,2.0,5500.0,2,1150.0,Noida,66.3,7233.0,0.7604037052398728
Ready to Move,1,Resale,2.0,8072.0,3,1150.0,New Delhi,85.0,8796.0,0.9176898590268304
Ready to Move,5,Resale,3.0,17778.0,3,1150.0,New Delhi,320.0,8796.0,2.021145975443383
Ready to Move,0,Resale,2.0,9646.0,2,1150.0,Gurgaon,120.0,9259.0,1.041797170320769
Ready to Move,23,Resale,2.0,15594.0,3,1150.0,New Delhi,141.0,8796.0,1.7728512960436562
Ready to Move,12,Resale,4.0,7368.0,4,1150.0,Noida,140.0,7233.0,1.0186644545831605
Under Construction,8,New Property,3.0,7500.0,3,1150.0,Noida,93.8,7233.0,1.0369141435089175
Ready to Move,1,Resale,2.0,6292.0,2,1150.0,New Delhi,28.0,8796.0,0.715325147794452
